x_um,region_id,region,temperature_C,c_h2_mol_m3,c_o2_mol_m3,total_water_kg_m3,vapor_water_kg_m3,liquid_water_kg_m3,ice_water_kg_m3,liquid_fraction,ice_fraction,gas_porosity,d_h2_effective_m2_s,d_o2_effective_m2_s,d_water_effective_m2_s,d_liquid_capillary_m2_s,thermal_conductivity_W_m_K,volumetric_heat_capacity_J_m3_K,temperature_smoothed_C
0.049999999999999996,0,aGDL,-16.65911065918573,47.52130960556538,0.0,1.5253584561474635e-11,1.5253584561474635e-11,0.0,0.0,0.0,0.0,0.8,6.048429775114224e-05,0.0,4.778259522340238e-05,3.127457403052318e-08,0.3,10184194.96,-16.657738148380318
0.15,0,aGDL,-16.658999604113603,47.52128332866332,0.0,4.576074212664191e-11,4.576074212664191e-11,0.0,0.0,0.0,0.0,0.8,6.048434358086363e-05,0.0,4.778263142888227e-05,3.127472006771415e-08,0.3,10184194.96,-16.657683927271133
0.25,0,aGDL,-16.658888705825746,47.521257051773205,0.0,7.626787659262013e-11,7.626787659262013e-11,0.0,0.0,0.0,0.0,0.8,6.048438934589881e-05,0.0,4.778266758326006e-05,3.127486589913673e-08,0.3,10184194.96,-16.65762975841427
0.35,0,aGDL,-16.65877796432079,47.521230774895,0.0,1.0677498799215897e-10,1.0677498799215897e-10,0.0,0.0,0.0,0.0,0.8,6.04844350462483e-05,0.0,4.7782703686536156e-05,3.1275011524791036e-08,0.3,10184194.96,-16.657575641809355
0.44999999999999996,0,aGDL,-16.658667379597205,47.52120449802868,0.0,1.3728207635800765e-10,1.3728207635800765e-10,0.0,0.0,0.0,0.0,0.8,6.048448068191267e-05,0.0,4.7782739738711005e-05,3.1275156944677374e-08,0.3,10184194.96,-16.657521577456027
0.55,0,aGDL,-16.658556951653622,47.52117822117422,0.0,1.67789141722915e-10,1.67789141722915e-10,0.0,0.0,0.0,0.0,0.8,6.048452625289241e-05,0.0,4.7782775739785e-05,3.127530215879583e-08,0.3,10184194.96,-16.65746756535391
0.6499999999999999,0,aGDL,-16.65844668048851,47.52115194433158,0.0,1.9829618411962944e-10,1.9829618411962944e-10,0.0,0.0,0.0,0.0,0.8,6.048457175918809e-05,0.0,4.778281168975859e-05,3.127544716714676e-08,0.3,10184194.96,-16.657413605502636
0.75,0,aGDL,-16.658336566100502,47.52112566750074,0.0,2.2880320358089895e-10,2.2880320358089895e-10,0.0,0.0,0.0,0.0,0.8,6.048461720080024e-05,0.0,4.778284758863218e-05,3.1275591969730216e-08,0.3,10184194.96,-16.657359697901835
0.8499999999999999,0,aGDL,-16.65822660848812,47.52109939068168,0.0,2.593102001394711e-10,2.593102001394711e-10,0.0,0.0,0.0,0.0,0.8,6.048466257772937e-05,0.0,4.7782883436406194e-05,3.127573656654648e-08,0.3,10184194.96,-16.657305842551143
0.95,0,aGDL,-16.65811680764989,47.52107311387436,0.0,2.8981717382809307e-10,2.8981717382809307e-10,0.0,0.0,0.0,0.0,0.8,6.048470788997604e-05,0.0,4.778291923308107e-05,3.127588095759581e-08,0.3,10184194.96,-16.65725203945018
1.05,0,aGDL,-16.658007163584386,47.52104683707875,0.0,3.2032412467951157e-10,3.2032412467951157e-10,0.0,0.0,0.0,0.0,0.8,6.0484753137540775e-05,0.0,4.7782954978657206e-05,3.127602514287833e-08,0.3,10184194.96,-16.65719828859858
1.15,0,aGDL,-16.657897676290133,47.52102056029483,0.0,3.508310527264729e-10,3.508310527264729e-10,0.0,0.0,0.0,0.0,0.8,6.048479832042412e-05,0.0,4.778299067313505e-05,3.1276169122394334e-08,0.3,10184194.96,-16.657144589995973
1.25,0,aGDL,-16.657788345765653,47.52099428352257,0.0,3.8133795800172294e-10,3.8133795800172294e-10,0.0,0.0,0.0,0.0,0.8,6.048484343862664e-05,0.0,4.778302631651504e-05,3.1276312896144085e-08,0.3,10184194.96,-16.657090943641983
1.3499999999999999,0,aGDL,-16.657679172009523,47.52096800676195,0.0,4.118448405380072e-10,4.118448405380072e-10,0.0,0.0,0.0,0.0,0.8,6.0484888492148844e-05,0.0,4.778306190879758e-05,3.127645646412777e-08,0.3,10184194.96,-16.657037349536242
1.4500000000000002,0,aGDL,-16.657570155020323,47.52094173001292,0.0,4.423517003680708e-10,4.423517003680708e-10,0.0,0.0,0.0,0.0,0.8,6.0484933480991255e-05,0.0,4.7783097449983094e-05,3.1276599826345574e-08,0.3,10184194.96,-16.65698380767838
1.55,0,aGDL,-16.657461294796462,47.52091545327547,0.0,4.728585375246584e-10,4.728585375246584e-10,0.0,0.0,0.0,0.0,0.8,6.048497840515447e-05,0.0,4.778313294007202e-05,3.127674298279788e-08,0.3,10184194.96,-16.656930318068024
1.65,0,aGDL,-16.657352591336632,47.52088917654957,0.0,5.033653520405139e-10,5.033653520405139e-10,0.0,0.0,0.0,0.0,0.8,6.048502326463897e-05,0.0,4.7783168379064794e-05,3.127688593348479e-08,0.3,10184194.96,-16.656876880704797
1.7499999999999998,0,aGDL,-16.657244044639242,47.52086289983519,0.0,5.338721439483815e-10,5.338721439483815e-10,0.0,0.0,0.0,0.0,0.8,6.0485068059445355e-05,0.0,4.7783203766961834e-05,3.127702867840671e-08,0.3,10184194.96,-16.656823495588327
1.85,0,aGDL,-16.65713565470287,47.5208366231323,0.0,5.643789132810045e-10,5.643789132810045e-10,0.0,0.0,0.0,0.0,0.8,6.0485112789574136e-05,0.0,4.778323910376356e-05,3.127717121756383e-08,0.3,10184194.96,-16.656770162718246
1.95,0,aGDL,-16.657027421526095,47.52081034644087,0.0,5.948856600711256e-10,5.948856600711256e-10,0.0,0.0,0.0,0.0,0.8,6.048515745502584e-05,0.0,4.7783274389470414e-05,3.1277313550956326e-08,0.3,10184194.96,-16.65671688209417
2.05,0,aGDL,-16.656919345107326,47.52078406976088,0.0,6.253923843514877e-10,6.253923843514877e-10,0.0,0.0,0.0,0.0,0.8,6.048520205580107e-05,0.0,4.778330962408285e-05,3.1277455678584635e-08,0.3,10184194.96,-16.656663653715736
2.15,0,aGDL,-16.656811425445255,47.520757793092294,0.0,6.558990861548328e-10,6.558990861548328e-10,0.0,0.0,0.0,0.0,0.8,6.04852465919003e-05,0.0,4.778334480760124e-05,3.127759760044884e-08,0.3,10184194.96,-16.656610477582564
2.25,0,aGDL,-16.65670366253829,47.520731516435085,0.0,6.864057655139025e-10,6.864057655139025e-10,0.0,0.0,0.0,0.0,0.8,6.0485291063324126e-05,0.0,4.778337994002606e-05,3.127773931654937e-08,0.3,10184194.96,-16.656557353694282
2.35,0,aGDL,-16.656596056385013,47.52070523978923,0.0,7.16912422461438e-10,7.16912422461438e-10,0.0,0.0,0.0,0.0,0.8,6.048533547007309e-05,0.0,4.778341502135774e-05,3.1277880826886446e-08,0.3,10184194.96,-16.656504282050516
2.4499999999999997,0,aGDL,-16.656488606983885,47.5206789631547,0.0,7.474190570301804e-10,7.474190570301804e-10,0.0,0.0,0.0,0.0,0.8,6.048537981214773e-05,0.0,4.7783450051596704e-05,3.1278022131460385e-08,0.3,10184194.96,-16.656451262650886
2.55,0,aGDL,-16.656381314333487,47.52065268653146,0.0,7.779256692528701e-10,7.779256692528701e-10,0.0,0.0,0.0,0.0,0.8,6.048542408954862e-05,0.0,4.778348503074341e-05,3.127816323027142e-08,0.3,10184194.96,-16.656398295495016
2.65,0,aGDL,-16.65627417843234,47.520626409919494,0.0,8.084322591622471e-10,8.084322591622471e-10,0.0,0.0,0.0,0.0,0.8,6.048546830227625e-05,0.0,4.7783519958798246e-05,3.1278304123319866e-08,0.3,10184194.96,-16.656291159433454
2.75,0,aGDL,-16.65616719927891,47.52060013331876,0.0,8.389388267910509e-10,8.389388267910509e-10,0.0,0.0,0.0,0.0,0.8,6.048551245033124e-05,0.0,4.778355483576168e-05,3.127844481060611e-08,0.3,10184194.96,-16.656184180119478
2.8499999999999996,0,aGDL,-16.65606037687178,47.520573856729236,0.0,8.694453721720207e-10,8.694453721720207e-10,0.0,0.0,0.0,0.0,0.8,6.048555653371409e-05,0.0,4.778358966163413e-05,3.12785852921303e-08,0.3,10184194.96,-16.656077357551602
2.9499999999999997,0,aGDL,-16.655953711209463,47.520547580150904,0.0,8.999518953378954e-10,8.999518953378954e-10,0.0,0.0,0.0,0.0,0.8,6.0485600552425356e-05,0.0,4.778362443641602e-05,3.1278725567892796e-08,0.3,10184194.96,-16.655970691728346
3.05,0,aGDL,-16.65584720229043,47.52052130358372,0.0,9.304583963214132e-10,9.304583963214132e-10,0.0,0.0,0.0,0.0,0.8,6.048564450646561e-05,0.0,4.778365916010783e-05,3.127886563789397e-08,0.3,10184194.96,-16.65586418264822
3.15,0,aGDL,-16.655740850113148,47.520495027027664,0.0,9.60964875155312e-10,9.60964875155312e-10,0.0,0.0,0.0,0.0,0.8,6.0485688395835427e-05,0.0,4.778369383270999e-05,3.127900550213418e-08,0.3,10184194.96,-16.65575783030974
3.25,0,aGDL,-16.65563465467625,47.520468750482706,0.0,9.914713318723293e-10,9.914713318723293e-10,0.0,0.0,0.0,0.0,0.8,6.048573222053532e-05,0.0,4.77837284542229e-05,3.127914516061363e-08,0.3,10184194.96,-16.655651634711422
3.3499999999999996,0,aGDL,-16.6555286159782,47.52044247394882,0.0,1.0219777665052023e-09,1.0219777665052023e-09,0.0,0.0,0.0,0.0,0.8,6.048577598056584e-05,0.0,4.7783763024647006e-05,3.127928461333263e-08,0.3,10184194.96,-16.655545595851766
3.45,0,aGDL,-16.655422734017463,47.52041619742597,0.0,1.0524841790866676e-09,1.0524841790866676e-09,0.0,0.0,0.0,0.0,0.8,6.048581967592758e-05,0.0,4.778379754398278e-05,3.127942386029165e-08,0.3,10184194.96,-16.655439713729287
3.55,0,aGDL,-16.655317008792622,47.52038992091415,0.0,1.0829905696494614e-09,1.0829905696494614e-09,0.0,0.0,0.0,0.0,0.8,6.048586330662105e-05,0.0,4.778383201223062e-05,3.127956290149086e-08,0.3,10184194.96,-16.65533398834249
3.65,0,aGDL,-16.655211440302082,47.5203636444133,0.0,1.1134969382263194e-09,1.1134969382263194e-09,0.0,0.0,0.0,0.0,0.8,6.048590687264686e-05,0.0,4.7783866429391015e-05,3.127970173693076e-08,0.3,10184194.96,-16.655228419689884
3.7499999999999996,0,aGDL,-16.655106028544424,47.52033736792342,0.0,1.144003284849977e-09,1.144003284849977e-09,0.0,0.0,0.0,0.0,0.8,6.048595037400553e-05,0.0,4.7783900795464363e-05,3.127984036661161e-08,0.3,10184194.96,-16.65512300776997
3.8500000000000005,0,aGDL,-16.655000773518168,47.52031109144447,0.0,1.1745096095531695e-09,1.1745096095531695e-09,0.0,0.0,0.0,0.0,0.8,6.04859938106976e-05,0.0,4.778393511045111e-05,3.1279978790533725e-08,0.3,10184194.96,-16.655017752581248
3.9499999999999993,0,aGDL,-16.654895675221724,47.520284814976414,0.0,1.2050159123686309e-09,1.2050159123686309e-09,0.0,0.0,0.0,0.0,0.8,6.0486037182723693e-05,0.0,4.778396937435172e-05,3.128011700869755e-08,0.3,10184194.96,-16.65491265412222
4.05,0,aGDL,-16.65479073365367,47.520258538519236,0.0,1.2355221933290956e-09,1.2355221933290956e-09,0.0,0.0,0.0,0.0,0.8,6.048608049008434e-05,0.0,4.7784003587166624e-05,3.128025502110333e-08,0.3,10184194.96,-16.654807712391385
4.1499999999999995,0,aGDL,-16.65468594881247,47.52023226207291,0.0,1.2660284524672971e-09,1.2660284524672971e-09,0.0,0.0,0.0,0.0,0.8,6.0486123732780074e-05,0.0,4.7784037748896255e-05,3.128039282775154e-08,0.3,10184194.96,-16.654702927387245
4.25,0,aGDL,-16.65458132069665,47.520205985637396,0.0,1.2965346898159691e-09,1.2965346898159691e-09,0.0,0.0,0.0,0.0,0.8,6.048616691081146e-05,0.0,4.778407185954106e-05,3.128053042864245e-08,0.3,10184194.96,-16.654598299108287
4.35,0,aGDL,-16.654476849304615,47.52017970921268,0.0,1.3270409054078443e-09,1.3270409054078443e-09,0.0,0.0,0.0,0.0,0.8,6.0486210024179116e-05,0.0,4.77841059191015e-05,3.128066782377655e-08,0.3,10184194.96,-16.65449382755301
4.45,0,aGDL,-16.654372534635,47.520153432798715,0.0,1.3575470992756547e-09,1.3575470992756547e-09,0.0,0.0,0.0,0.0,0.8,6.048625307288354e-05,0.0,4.778413992757799e-05,3.128080501315404e-08,0.3,10184194.96,-16.654389512719913
4.550000000000001,0,aGDL,-16.65426837668616,47.52012715639549,0.0,1.3880532714521328e-09,1.3880532714521328e-09,0.0,0.0,0.0,0.0,0.8,6.048629605692533e-05,0.0,4.7784173884971006e-05,3.1280941996775506e-08,0.3,10184194.96,-16.654285354607477
4.6499999999999995,0,aGDL,-16.654164375456673,47.52010088000297,0.0,1.4185594219700096e-09,1.4185594219700096e-09,0.0,0.0,0.0,0.0,0.8,6.048633897630504e-05,0.0,4.778420779128099e-05,3.1281078774641156e-08,0.3,10184194.96,-16.654181353214195
