case,time_s,current_A,current_density_A_cm2,temperature_experiment_C,temperature_model_C,voltage_experiment_V,voltage_model_V,temperature_min_C,temperature_max_C,ice_fraction_average,ice_fraction_max,ice_fraction_ccl_average,liquid_fraction_max,gas_porosity_min,gas_porosity_ccl_average,d_h2_effective_average_m2_s,d_o2_effective_average_m2_s,d_o2_effective_ccl_average_m2_s,d_water_cathode_average_m2_s,d_liquid_capillary_cathode_average_m2_s,lambda_pem_average,lambda_pem_min,lambda_pem_max,membrane_water_average_kg_m3,anode_pem_water_flux_kg_m2_s,pem_cathode_water_flux_kg_m2_s,active_area_factor,reversible_voltage_V,activation_loss_V,ohmic_loss_V,concentration_loss_V,limiting_current_A_m2,exchange_current_density_A_m2,hydration_activity_factor,effective_exchange_current_density_A_m2,transport_limited,electrochemical_heat_average_W_m3,phase_change_heat_average_W_m3,current_residual_max_A_m2,water_balance_residual_kg_m2_s,temperature_error_C,voltage_error_V
-25C,0.0,2.0,0.006600660066006602,-24.995416484688832,-25.0,0.799,0.7675779981684052,-25.0,-25.0,0.0,0.0,0.0,0.0,0.3916,0.4207,5.6252384974391086e-05,1.092205438441391e-05,4.3538204416079355e-06,1.2312134033339315e-05,2.0356088248701296e-08,3.0,3.0,3.0,116.09999999999997,-1.1443590000000278e-08,1.1443590000000278e-08,1.0,1.2631593922179494,0.49386749463885576,0.0017125050383697451,1.394372318732733e-06,253086.95537657474,0.06462262814834036,1.0,0.06462262814834036,False,143938.0305367092,0.0,1.4210854715202004e-14,0.0,-0.004583515311168185,-0.031422001831594826
-25C,0.2,2.1,0.006930693069306931,-24.995416484688832,-24.998045128501758,0.799,0.7640224453234571,-24.99900626491413,-24.997621386729406,0.0,0.0,0.0,0.0,0.3916,0.4207,5.625317387782593e-05,1.0922211654481569e-05,4.353856718533306e-06,1.2312311319597404e-05,2.0358122191913848e-08,2.999990143333334,2.9911019907433345,3.0088504318093534,116.099618547,-1.1396251581161884e-08,2.0288217798245607e-10,1.0,1.2631563008831492,0.49733428498659404,0.0017981061418838587,1.4644312142708632e-06,253031.79835937815,0.0646367962089805,0.9999868578425479,0.06463594674202752,False,151889.21567113683,0.0,1.4210854715202004e-14,8.470329472543003e-22,-0.002628643812926157,-0.034977554676542955
-25C,0.4,2.0,0.006600660066006602,-24.993965296107348,-24.99621303660959,0.799,0.7675945286523497,-24.997669030796175,-24.995490743759717,0.0,0.0,0.0,0.0,0.3916,0.4207,5.6253903135173565e-05,1.0922357187237302e-05,4.353900032682293e-06,1.2312475374703867e-05,2.036000211191336e-08,2.9999851477699724,2.9873439474926773,3.012635819524822,116.09942521869792,-1.138175236781374e-08,4.1848826326943703e-10,1.0,1.2631545447372732,0.4938461740235205,0.001712447351374753,1.3947100282733425e-06,253029.54276592087,0.06465007703331883,0.9999801971736887,0.06464879677907233,False,143934.6907110207,0.0,1.4210854715202004e-14,-6.352747104407253e-22,-0.002247740502241413,-0.03140547134765037
-25C,0.6,2.0,0.006600660066006602,-24.992561301065223,-24.994608038862395,0.799,0.7676023283601167,-24.996247086539768,-24.9937433417235,0.0,0.0,0.0,0.0,0.3916,0.4207,5.625453714678592e-05,1.0922483163710064e-05,4.353944366436669e-06,1.231261738454589e-05,2.0361627856200922e-08,2.999980065591394,2.9848195010394156,3.0151756218876877,116.09922853838695,-1.1372001034491944e-08,4.2944775371299406e-10,1.0,1.263153155709526,0.4938370226619199,0.001712409988385461,1.3946991038057884e-06,253033.16078188235,0.06466171373459255,0.9999734210534444,0.064659995094359,False,143933.1148548963,0.0,1.4210854715202004e-14,-4.235164736271502e-22,-0.002046737797172682,-0.031397671639883384
-25C,0.8,2.1,0.006930693069306931,-24.991122981626773,-24.993014887137832,0.799,0.764046591543938,-24.99477078315931,-24.992064676536472,0.0,0.0,0.0,0.0,0.3916,0.4207,5.625516620700854e-05,1.0922607594489293e-05,4.353990243515498e-06,1.231275765196975e-05,2.0363233224882668e-08,2.999975005234186,2.9825714971415773,3.017443380786287,116.099032702563,-1.1363319348192331e-08,2.3239049464816472e-10,1.0,1.2631516445921196,0.4973055990076649,0.0017979895803624335,1.4644601542138017e-06,253031.92710989687,0.06467326647126588,0.9999666740620712,0.0646711111740018,False,151884.09323333652,0.0,1.4210854715202004e-14,7.411538288475128e-22,-0.0018919055110586669,-0.034953408456062096
-25C,1.0,2.0,0.006600660066006602,-24.989688730460614,-24.991381310349908,0.8,0.7676178822979368,-24.993213950733377,-24.990380777555828,0.0,0.0,0.0,0.0,0.3916,0.4207,5.62558119458341e-05,1.092273461398367e-05,4.354038458010298e-06,1.2312900837581588e-05,2.0364871734370974e-08,2.999970011110034,2.9815881960237305,3.0184266231922257,116.0988394299583,-1.1359520706966857e-08,4.427934075293984e-10,1.0,1.2631502123700047,0.49381860907391023,0.0017123262773501098,1.394720807540955e-06,253032.51343162108,0.06468511433942803,0.9999600154129303,0.06468252793184161,False,143929.97233098323,0.0,1.4210854715202004e-14,-1.0587911840678754e-22,-0.0016925798892941657,-0.03238211770206323
-25C,1.2,2.0,0.006600660066006602,-24.98829688239823,-24.989879726959742,0.799,0.7676251929913549,-24.991691276860593,-24.988878689295433,0.0,0.0,0.0,0.0,0.3916,0.4207,5.6256404717581197e-05,1.092285063567379e-05,4.3540850663439794e-06,1.2313031625668637e-05,2.036636782553964e-08,2.999964928022709,2.980809701212179,3.01920416103038,116.09864271447887,-1.135651421459313e-08,4.4700060077450936e-10,1.0,1.2631489479967228,0.49381007858679216,0.0017122817108491041,1.3947077266309422e-06,253036.4171937372,0.06469600667385975,0.9999532381836351,0.06469298137107612,False,143928.49527551647,0.0,1.4210854715202004e-14,1.5881867761018131e-22,-0.001582844561511365,-0.031374807008645145
-25C,1.4,2.1,0.006930693069306931,-24.986870532738067,-24.98837908972402,0.8,0.7640690321943444,-24.99017683866211,-24.98738517488303,0.0,0.0,0.0,0.0,0.3916,0.4207,5.625699816594945e-05,1.0922966442552537e-05,4.354131538219665e-06,1.2313162171604674e-05,2.0367861219923105e-08,2.999959844419513,2.979831864549392,3.020182933926061,116.09844597903515,-1.1352735367880437e-08,2.449438431634607e-10,1.0,1.2631476237393482,0.49727927746010736,0.0017978496301042208,1.4644547922082338e-06,253037.57967851424,0.06470689384568636,0.9999464603009881,0.06470342945806587,False,151879.3326193101,0.0,1.4210854715202004e-14,1.4293680984916318e-21,-0.0015085569859536463,-0.035930967805655634
-25C,1.6,1.8,0.005940594059405941,-24.985524800530953,-24.986857435896013,0.8,0.7753211950503341,-24.988647406890692,-24.985866928019306,0.0,0.0,0.0,0.0,0.3916,0.4207,5.6257600427617334e-05,1.0923083843347941e-05,4.354178464675655e-06,1.2313294514319495e-05,2.0369375275530533e-08,2.9999547826486133,2.9803204057727792,3.0196815353587336,116.09825008850133,-1.1354631870642384e-08,8.877585669084897e-10,1.0,1.2631462649410592,0.4862828443899412,0.0015409702796742924,1.2552211096345732e-06,253039.39150344627,0.06471793522987423,0.9999397115612098,0.0647140334865975,False,128136.23270502794,0.0,7.105427357601002e-15,-7.940933880509066e-23,-0.0013326353650597866,-0.0246788049496659
-25C,1.8,2.2,0.007260726072607261,-24.984144535809946,-24.985578583391884,0.8,0.7606809528175479,-24.987250746908444,-24.984647614024254,0.0,0.0,0.0,0.0,0.3916,0.4207,5.62581054629367e-05,1.0923181643861494e-05,4.354220722633653e-06,1.2313404762171141e-05,2.0370635846991575e-08,2.999949510060447,2.9788822858218253,3.021122839085638,116.0980460393393,-1.1349066452148527e-08,4.758046489261974e-11,1.0,1.2631452873185354,0.5005794354919625,0.0018833648382957104,1.5341707292579934e-06,253045.38430888634,0.06472721615788155,0.9999326817800663,0.06472285883690854,False,159864.66361801786,0.0,0.0,-1.0058516248644817e-21,-0.0014340475819381027,-0.03931904718245216
