x_um,region_id,region,temperature_C,c_h2_mol_m3,c_o2_mol_m3,total_water_kg_m3,vapor_water_kg_m3,liquid_water_kg_m3,ice_water_kg_m3,liquid_fraction,ice_fraction,gas_porosity,d_h2_effective_m2_s,d_o2_effective_m2_s,d_water_effective_m2_s,d_liquid_capillary_m2_s,thermal_conductivity_W_m_K,volumetric_heat_capacity_J_m3_K,temperature_smoothed_C
2.05,0,aGDL,-12.192141063499662,46.70720141935549,0.0,6.35766292893261e-10,6.35766292893261e-10,0.0,0.0,0.0,0.0,0.8,6.233972864791653e-05,0.0,4.924838563185405e-05,3.7475635861074984e-08,0.3,10184194.96,-12.191902276313055
2.15,0,aGDL,-12.192040140899564,46.707176527866665,0.0,6.667790549475765e-10,6.667790549475765e-10,0.0,0.0,0.0,0.0,0.8,6.233977083903803e-05,0.0,4.924841896284003e-05,3.7475783359282535e-08,0.3,10184194.96,-12.1918525660266
2.25,0,aGDL,-12.191939368516046,46.7071516363878,0.0,6.977917960300134e-10,6.977917960300134e-10,0.0,0.0,0.0,0.0,0.8,6.233981296737303e-05,0.0,4.9248452244224694e-05,3.747593063828243e-08,0.3,10184194.96,-12.191802905806307
2.35,0,aGDL,-12.191838746347685,46.70712674491887,0.0,7.288045161719148e-10,7.288045161719148e-10,0.0,0.0,0.0,0.0,0.8,6.233985503292212e-05,0.0,4.924848547600848e-05,3.7476077698075314e-08,0.3,10184194.96,-12.191753295651848
2.4499999999999997,0,aGDL,-12.191738274393174,46.70710185345983,0.0,7.598172154046232e-10,7.598172154046232e-10,0.0,0.0,0.0,0.0,0.8,6.233989703568578e-05,0.0,4.924851865819177e-05,3.747622453866158e-08,0.3,10184194.96,-12.191703735562896
2.55,0,aGDL,-12.191637952651263,46.70707696201068,0.0,7.908298937594812e-10,7.908298937594812e-10,0.0,0.0,0.0,0.0,0.8,6.233993897566446e-05,0.0,4.9248551790774924e-05,3.7476371160041575e-08,0.3,10184194.96,-12.191654225539125
2.65,0,aGDL,-12.191537781120644,46.70705207057139,0.0,8.218425512678306e-10,8.218425512678306e-10,0.0,0.0,0.0,0.0,0.8,6.233998085285869e-05,0.0,4.924858487375836e-05,3.747651756221574e-08,0.3,10184194.96,-12.191554053865993
2.75,0,aGDL,-12.191437759799896,46.707027179141924,0.0,8.528551879610128e-10,8.528551879610128e-10,0.0,0.0,0.0,0.0,0.8,6.234002266726896e-05,0.0,4.924861790714248e-05,3.74766637451846e-08,0.3,10184194.96,-12.191454032402868
2.8499999999999996,0,aGDL,-12.191337888687826,46.70700228772227,0.0,8.83867803870369e-10,8.83867803870369e-10,0.0,0.0,0.0,0.0,0.8,6.234006441889574e-05,0.0,4.924865089092763e-05,3.7476809708948505e-08,0.3,10184194.96,-12.191354161148436
2.9499999999999997,0,aGDL,-12.191238167783013,46.70697739631239,0.0,9.1488039902724e-10,9.1488039902724e-10,0.0,0.0,0.0,0.0,0.8,6.234010610773957e-05,0.0,4.924868382511426e-05,3.747695545350803e-08,0.3,10184194.96,-12.19125444010138
3.05,0,aGDL,-12.191138597084262,46.706952504912266,0.0,9.458929734629663e-10,9.458929734629663e-10,0.0,0.0,0.0,0.0,0.8,6.23401477338009e-05,0.0,4.924871670970271e-05,3.747710097886342e-08,0.3,10184194.96,-12.191154869260387
3.15,0,aGDL,-12.191039176590152,46.70692761352188,0.0,9.76905527208888e-10,9.76905527208888e-10,0.0,0.0,0.0,0.0,0.8,6.234018929708027e-05,0.0,4.92487495446934e-05,3.747724628501528e-08,0.3,10184194.96,-12.191055448624143
3.25,0,aGDL,-12.190939906299377,46.706902722141194,0.0,1.0079180602963445e-09,1.0079180602963445e-09,0.0,0.0,0.0,0.0,0.8,6.234023079757814e-05,0.0,4.9248782330086726e-05,3.7477391371964104e-08,0.3,10184194.96,-12.19095617819134
3.3499999999999996,0,aGDL,-12.190840786210742,46.70687783077019,0.0,1.0389305727566755e-09,1.0389305727566755e-09,0.0,0.0,0.0,0.0,0.8,6.2340272235295e-05,0.0,4.9248815065883045e-05,3.747753623971009e-08,0.3,10184194.96,-12.190857057960669
3.45,0,aGDL,-12.19074181632277,46.70685293940883,0.0,1.0699430646212196e-09,1.0699430646212196e-09,0.0,0.0,0.0,0.0,0.8,6.23403136102314e-05,0.0,4.924884775208281e-05,3.747768088825398e-08,0.3,10184194.96,-12.19075808793081
3.55,0,aGDL,-12.190642996634267,46.70682804805712,0.0,1.1009555359213154e-09,1.1009555359213154e-09,0.0,0.0,0.0,0.0,0.8,6.234035492238777e-05,0.0,4.924888038868634e-05,3.747782531759604e-08,0.3,10184194.96,-12.190659268100458
3.65,0,aGDL,-12.190544327143925,46.706803156715004,0.0,1.131967986688301e-09,1.131967986688301e-09,0.0,0.0,0.0,0.0,0.8,6.234039617176463e-05,0.0,4.924891297569405e-05,3.747796952773676e-08,0.3,10184194.96,-12.190560598468306
3.7499999999999996,0,aGDL,-12.19044580785038,46.70677826538247,0.0,1.1629804169535148e-09,1.1629804169535148e-09,0.0,0.0,0.0,0.0,0.8,6.234043735836249e-05,0.0,4.9248945513106354e-05,3.747811351867658e-08,0.3,10184194.96,-12.190462079033042
3.8500000000000005,0,aGDL,-12.190347438752326,46.706753374059495,0.0,1.1939928267482936e-09,1.1939928267482936e-09,0.0,0.0,0.0,0.0,0.8,6.23404784821818e-05,0.0,4.9248978000923614e-05,3.7478257290416045e-08,0.3,10184194.96,-12.19036370979336
3.9499999999999993,0,aGDL,-12.19024921984851,46.706728482746044,0.0,1.2250052161039747e-09,1.2250052161039747e-09,0.0,0.0,0.0,0.0,0.8,6.234051954322308e-05,0.0,4.924901043914623e-05,3.7478400842955465e-08,0.3,10184194.96,-12.190265490747949
4.05,0,aGDL,-12.19015115113757,46.70670359144211,0.0,1.256017585051895e-09,1.256017585051895e-09,0.0,0.0,0.0,0.0,0.8,6.234056054148685e-05,0.0,4.924904282777459e-05,3.747854417629547e-08,0.3,10184194.96,-12.190167421895508
4.1499999999999995,0,aGDL,-12.190053232618254,46.70667870014764,0.0,1.2870299336233904e-09,1.2870299336233904e-09,0.0,0.0,0.0,0.0,0.8,6.234060147697354e-05,0.0,4.9249075166809086e-05,3.747868729043632e-08,0.3,10184194.96,-12.190069503234723
4.25,0,aGDL,-12.189955464289199,46.70665380886264,0.0,1.3180422618497972e-09,1.3180422618497972e-09,0.0,0.0,0.0,0.0,0.8,6.234064234968369e-05,0.0,4.924910745625011e-05,3.747883018537866e-08,0.3,10184194.96,-12.189971734764292
4.35,0,aGDL,-12.189857846149096,46.70662891758706,0.0,1.3490545697624512e-09,1.3490545697624512e-09,0.0,0.0,0.0,0.0,0.8,6.23406831596178e-05,0.0,4.924913969609806e-05,3.747897286112286e-08,0.3,10184194.96,-12.189874116482917
4.45,0,aGDL,-12.189760378196695,46.706604026320896,0.0,1.3800668573926873e-09,1.3800668573926873e-09,0.0,0.0,0.0,0.0,0.8,6.234072390677632e-05,0.0,4.924917188635329e-05,3.747911531766939e-08,0.3,10184194.96,-12.189776648389278
4.550000000000001,0,aGDL,-12.18966306043069,46.7065791350641,0.0,1.4110791247718404e-09,1.4110791247718404e-09,0.0,0.0,0.0,0.0,0.8,6.234076459115977e-05,0.0,4.924920402701622e-05,3.747925755501867e-08,0.3,10184194.96,-12.189679330482086
4.6499999999999995,0,aGDL,-12.189565892849714,46.70655424381667,0.0,1.442091371931245e-09,1.442091371931245e-09,0.0,0.0,0.0,0.0,0.8,6.234080521276866e-05,0.0,4.9249236118087236e-05,3.747939957317127e-08,0.3,10184194.96,-12.189582162760033
4.75,0,aGDL,-12.18946887545252,46.70652935257857,0.0,1.4731035989022353e-09,1.4731035989022353e-09,0.0,0.0,0.0,0.0,0.8,6.234084577160344e-05,0.0,4.924926815956672e-05,3.74795413721276e-08,0.3,10184194.96,-12.189485145221811
4.85,0,aGDL,-12.189372008237797,46.70650446134977,0.0,1.504115805716145e-09,1.504115805716145e-09,0.0,0.0,0.0,0.0,0.8,6.23408862676646e-05,0.0,4.924930015145504e-05,3.74796829518881e-08,0.3,10184194.96,-12.189388277866128
4.95,0,aGDL,-12.18927529120424,46.706479570130256,0.0,1.5351279924043078e-09,1.5351279924043078e-09,0.0,0.0,0.0,0.0,0.8,6.234092670095269e-05,0.0,4.9249332093752626e-05,3.7479824312453235e-08,0.3,10184194.96,-12.189291560691675
5.049999999999999,0,aGDL,-12.18917872435054,46.70645467891999,0.0,1.5661401589980562e-09,1.5661401589980562e-09,0.0,0.0,0.0,0.0,0.8,6.234096707146816e-05,0.0,4.9249363986459844e-05,3.747996545382356e-08,0.3,10184194.96,-12.189194993697155
5.1499999999999995,0,aGDL,-12.189082307675392,46.70642978771896,0.0,1.5971523055287233e-09,1.5971523055287233e-09,0.0,0.0,0.0,0.0,0.8,6.234100737921148e-05,0.0,4.924939582957707e-05,3.748010637599948e-08,0.3,10184194.96,-12.189098576881268
5.25,0,aGDL,-12.188986041177543,46.70640489652713,0.0,1.6281644320276415e-09,1.6281644320276415e-09,0.0,0.0,0.0,0.0,0.8,6.23410476241832e-05,0.0,4.9249427623104714e-05,3.748024707898143e-08,0.3,10184194.96,-12.189002310242715
5.35,0,aGDL,-12.18888992485563,46.70638000534449,0.0,1.6591765385261426e-09,1.6591765385261426e-09,0.0,0.0,0.0,0.0,0.8,6.234108780638375e-05,0.0,4.924945936704316e-05,3.7480387562769984e-08,0.3,10184194.96,-12.188906193780195
5.45,0,aGDL,-12.188793958708402,46.706355114171004,0.0,1.6901886250555577e-09,1.6901886250555577e-09,0.0,0.0,0.0,0.0,0.8,6.234112792581364e-05,0.0,4.924949106139278e-05,3.7480527827365545e-08,0.3,10184194.96,-12.188810227492416
5.549999999999999,0,aGDL,-12.188698142734552,46.706330223006645,0.0,1.7212006916472185e-09,1.7212006916472185e-09,0.0,0.0,0.0,0.0,0.8,6.234116798247338e-05,0.0,4.924952270615397e-05,3.748066787276861e-08,0.3,10184194.96,-12.188714411378072
5.65,0,aGDL,-12.188602476932715,46.70630533185139,0.0,1.7522127383324557e-09,1.7522127383324557e-09,0.0,0.0,0.0,0.0,0.8,6.234120797636347e-05,0.0,4.9249554301327144e-05,3.7480807698979686e-08,0.3,10184194.96,-12.188618745435875
5.749999999999999,0,aGDL,-12.188506961301698,46.706280440705214,0.0,1.7832247651425997e-09,1.7832247651425997e-09,0.0,0.0,0.0,0.0,0.8,6.234124790748435e-05,0.0,4.924958584691264e-05,3.7480947305999225e-08,0.3,10184194.96,-12.18852322966452
5.85,0,aGDL,-12.188411595840194,46.7062555495681,0.0,1.814236772108981e-09,1.814236772108981e-09,0.0,0.0,0.0,0.0,0.8,6.234128777583654e-05,0.0,4.9249617342910863e-05,3.748108669382766e-08,0.3,10184194.96,-12.188427864062717
5.95,0,aGDL,-12.188316380546837,46.70623065844001,0.0,1.845248759262929e-09,1.845248759262929e-09,0.0,0.0,0.0,0.0,0.8,6.234132758142054e-05,0.0,4.9249648789322236e-05,3.748122586246558e-08,0.3,10184194.96,-12.188332648629173
6.05,0,aGDL,-12.188221315420378,46.70620576732093,0.0,1.876260726635773e-09,1.876260726635773e-09,0.0,0.0,0.0,0.0,0.8,6.234136732423684e-05,0.0,4.92496801861471e-05,3.748136481191336e-08,0.3,10184194.96,-12.188237583362591
6.15,0,aGDL,-12.18812640045951,46.70618087621083,0.0,1.9072726742588422e-09,1.9072726742588422e-09,0.0,0.0,0.0,0.0,0.8,6.23414070042859e-05,0.0,4.9249711533385856e-05,3.7481503542171616e-08,0.3,10184194.96,-12.188142668261676
6.249999999999999,0,aGDL,-12.18803163566298,46.70615598510969,0.0,1.9382846021634655e-09,1.9382846021634655e-09,0.0,0.0,0.0,0.0,0.8,6.234144662156821e-05,0.0,4.924974283103889e-05,3.748164205324065e-08,0.3,10184194.96,-12.188047903325138
6.3500000000000005,0,aGDL,-12.187937021029427,46.70613109401747,0.0,1.9692965103809706e-09,1.9692965103809706e-09,0.0,0.0,0.0,0.0,0.8,6.23414861760843e-05,0.0,4.9249774079106595e-05,3.748178034512112e-08,0.3,10184194.96,-12.187953288551684
6.449999999999999,0,aGDL,-12.187842556557655,46.70610620293416,0.0,2.0003083989426857e-09,2.0003083989426857e-09,0.0,0.0,0.0,0.0,0.8,6.234152566783461e-05,0.0,4.9249805277589344e-05,3.748191841781338e-08,0.3,10184194.96,-12.187858823940026
6.55,0,aGDL,-12.187748242246244,46.706081311859734,0.0,2.0313202678799387e-09,2.0313202678799387e-09,0.0,0.0,0.0,0.0,0.8,6.234156509681968e-05,0.0,4.924983642648754e-05,3.748205627131806e-08,0.3,10184194.96,-12.187764509488863
6.649999999999999,0,aGDL,-12.187654078093999,46.70605642079416,0.0,2.0623321172240565e-09,2.0623321172240565e-09,0.0,0.0,0.0,0.0,0.8,6.234160446303996e-05,0.0,4.924986752580156e-05,3.748219390563554e-08,0.3,10184194.96,-12.187670345196915
6.75,0,aGDL,-12.187560064099614,46.706031529737416,0.0,2.093343947006366e-09,2.093343947006366e-09,0.0,0.0,0.0,0.0,0.8,6.234164376649594e-05,0.0,4.92498985755318e-05,3.748233132076635e-08,0.3,10184194.96,-12.187576331062886
6.85,0,aGDL,-12.187466200261838,46.70600663868948,0.0,2.1243557572581937e-09,2.1243557572581937e-09,0.0,0.0,0.0,0.0,0.8,6.234168300718811e-05,0.0,4.92499295756786e-05,3.748246851671091e-08,0.3,10184194.96,-12.18748246708549
6.949999999999999,0,aGDL,-12.18737248657925,46.70598174765033,0.0,2.1553675480108658e-09,2.1553675480108658e-09,0.0,0.0,0.0,0.0,0.8,6.2341722185117e-05,0.0,4.924996052624242e-05,3.7482605493469956e-08,0.3,10184194.96,-12.18738875326344
