case,time_s,current_A,current_density_A_cm2,temperature_experiment_C,temperature_model_C,voltage_experiment_V,voltage_model_V,temperature_min_C,temperature_max_C,ice_fraction_average,ice_fraction_max,ice_fraction_ccl_average,liquid_fraction_max,gas_porosity_min,gas_porosity_ccl_average,d_h2_effective_average_m2_s,d_o2_effective_average_m2_s,d_o2_effective_ccl_average_m2_s,d_water_cathode_average_m2_s,d_liquid_capillary_cathode_average_m2_s,lambda_pem_average,lambda_pem_min,lambda_pem_max,membrane_water_average_kg_m3,anode_pem_water_flux_kg_m2_s,pem_cathode_water_flux_kg_m2_s,active_area_factor,reversible_voltage_V,activation_loss_V,ohmic_loss_V,concentration_loss_V,limiting_current_A_m2,exchange_current_density_A_m2,hydration_activity_factor,effective_exchange_current_density_A_m2,transport_limited,electrochemical_heat_average_W_m3,phase_change_heat_average_W_m3,current_residual_max_A_m2,water_balance_residual_kg_m2_s,temperature_error_C,voltage_error_V
-20C,2.0,2.0,0.007,-19.98264301189576,-19.984979727893347,0.8,0.7890356695500839,-19.9866329363243,-19.984061341176613,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825690665712481e-05,1.131127214826782e-05,4.508923708343647e-06,1.2750888603501904e-05,2.571805883134576e-08,2.999935477863599,2.982435820829258,3.017503482469364,116.09750299332129,-1.1367876693395884e-08,2.3928006452244163e-09,1.0,1.2587266805995163,0.46804138418384966,0.001648140402103915,1.4864634788984666e-06,256860.25387309992,0.11214718645650171,0.9999139732601633,0.11213753879966899,False,148048.67808844242,0.0,1.4210854715202004e-14,-2.9116757561866574e-22,-0.002336715997586225,-0.010964330449916182
-20C,2.2,2.1,0.006,-19.981233739111815,-19.983487073173876,0.8,0.8004875479833239,-19.985177262670135,-19.98256581552127,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8257508172476546e-05,1.1311389120777847e-05,4.508969413274944e-06,1.2751020463422298e-05,2.5719773336380495e-08,2.9999294765833495,2.983107638962551,3.0168147606201363,116.09727074377564,-1.1370479386837473e-08,3.1230482549138207e-09,1.0,1.258725219782725,0.4568237425593169,0.0014126551270135757,1.2741130706206655e-06,256856.46184416243,0.11216522347109796,0.9999059720934489,0.11215467680994713,False,124795.67530150161,0.0,7.105427357601002e-15,4.235164736271502e-22,-0.0022533340620611853,0.00048754798332384386
-20C,2.4,2.0,0.006,-19.97982836914474,-19.98224486698578,0.8,0.8004935204066017,-19.98383451636809,-19.981374282053935,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8258006785557864e-05,1.1311485568403234e-05,4.509010698718547e-06,1.2751129186200012e-05,2.5721186068576918e-08,2.9999232344975,2.983481130231591,3.0164253349490493,116.09702917505322,-1.1371924581443498e-08,3.124415425327489e-09,1.0,1.2587242733885193,0.456816857193981,0.0014126216982399402,1.2740896965995296e-06,256862.43368350627,0.11218023615286567,0.9998976499252279,0.11216875449730747,False,124794.57843772238,0.0,7.105427357601002e-15,3.441071348220595e-22,-0.0024164978410396998,0.0004935204066016663
-20C,2.6,2.0,0.006,-19.978465069634865,-19.98098585853046,0.8,0.8004993956848565,-19.98251923374687,-19.98015435549806,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825851326682273e-05,1.1311583541484084e-05,4.509051465683079e-06,1.2751239628582058e-05,2.5722621506294287e-08,2.999916991268462,2.983722057070419,3.0161688294452844,116.09678756208945,-1.1372856628789528e-08,3.1240573677756395e-09,1.0,1.2587231297179649,0.45680987062799855,0.00141258931122411,1.2740938856332187e-06,256862.86648493508,0.11219545379837811,0.9998893262848308,0.11218303671068115,False,124793.49941508607,0.0,7.105427357601002e-15,5.558653716356346e-22,-0.0025207888955947055,0.0004993956848564629
-20C,2.8,2.0,0.006,-19.977105534431615,-19.979718097334853,0.8,0.800505390076436,-19.98122416227966,-19.978909757948514,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8259023816394026e-05,1.1311682386720434e-05,4.509091732500323e-06,1.2751351054121216e-05,2.5724070000561664e-08,2.99991074773232,2.98385779753891,3.016019461627542,116.09654593724075,-1.1373382656087165e-08,3.12409750702894e-09,1.0,1.258722053270663,0.456802831319549,0.0014125577824854857,1.274092192637654e-06,256864.49387067274,0.11221077917127224,0.999881002286966,0.1121974263451731,False,124792.39851672435,0.0,7.105427357601002e-15,7.080666043453917e-22,-0.0026125629032378583,0.0005053900764359076
-20C,3.0,2.2,0.006,-19.975673343168808,-19.97844911316278,0.8,0.8005113089940689,-19.979936174750634,-19.97765825111125,0.0,0.0,0.0,0.0,0.3916,0.4207,5.825953494093444e-05,1.1311781396786244e-05,4.509131811006136e-06,1.2751462665468129e-05,2.5725521023643553e-08,2.9999045040166292,2.9839529394639515,3.015910581847347,116.09630430544354,-1.1373751341586523e-08,3.1242917187143653e-09,1.0,1.2587208943246324,0.4567957846612305,0.001412526572555262,1.2740967776944894e-06,256864.85695342039,0.11222612127082417,0.9998726781016987,0.11221183242802497,False,124791.31147950991,0.0,7.105427357601002e-15,3.705769144237564e-22,-0.0027757699939741087,0.0005113089940688154
-20C,3.2,2.1,0.006,-19.974206805547624,-19.977180860717965,0.8,0.8005172632165455,-19.97865468049514,-19.97640319079673,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826004576488899e-05,1.1311880409887821e-05,4.509171709959775e-06,1.2751574280237178e-05,2.5726972184323912e-08,2.9998982600591457,2.984011391043984,3.015838983016072,116.09606266428891,-1.1373978331308667e-08,3.1246270076099372e-09,1.0,1.2587197754145625,0.4567887424460573,0.0014124956536727222,1.2740982869893295e-06,256865.83930934258,0.11224145646589452,0.9998643536460485,0.11222623132156272,False,124790.21795839387,0.0,7.105427357601002e-15,5.178150634581953e-22,-0.0029740551703412166,0.0005172632165454383
-20C,3.4,2.0,0.006,-19.972820922226305,-19.975915478543214,0.8,0.8005232424500509,-19.977378847664568,-19.97514863766952,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8260555370521694e-05,1.1311979239400675e-05,4.50921144434382e-06,1.275168568805167e-05,2.572842072274148e-08,2.9998920157981463,2.9840435286574563,3.0157940635368257,116.09582101138825,-1.1374103610915693e-08,3.1250628243538123e-09,1.0,1.2587186990926984,0.45678171757553326,0.0014124649704402162,1.2740966739896313e-06,256867.44815407987,0.11225675889004758,0.9998560288377338,0.11224059715399794,False,124789.11984388415,0.0,7.105427357601002e-15,5.839895124624375e-22,-0.0030945563169098023,0.0005232424500508648
-20C,3.6,2.1,0.006,-19.97143886873448,-19.974652199716445,0.8,0.8005291297651336,-19.976105950061708,-19.973895324272604,0.0,0.0,0.0,0.0,0.3916,0.4207,5.826106409242863e-05,1.1312077920555241e-05,4.50925109113504e-06,1.275179692862591e-05,2.5729867137963413e-08,2.9998857713579685,2.984064945887079,3.015759822637592,116.09557935155337,-1.1374187351116612e-08,3.125538693194189e-09,1.0,1.2587175436799123,0.45677470541300386,0.001412434400436915,1.274101337991879e-06,256867.78952294734,0.11227203780659262,0.9998477038425255,0.11225493920664284,False,124788.03861062745,0.0,7.105427357601002e-15,1.885971796620903e-22,-0.003213330981964191,0.0005291297651335292
-20C,3.8,2.1,0.007,-19.970022418720248,-19.97339272747061,0.8,0.7890897264747878,-19.974837511770318,-19.97264505093048,0.0,0.0,0.0,0.0,0.3916,0.4207,5.8261571234049134e-05,1.1312176320360513e-05,4.509290602309287e-06,1.2751907852042759e-05,2.5731309478923555e-08,2.9998795266157257,2.982925374041941,3.01689537191087,116.09533768002855,-1.1369778152547001e-08,2.395928117585518e-09,1.0,1.2587164722248532,0.46797745179507005,0.0016478074763592707,1.4864786359099687e-06,256869.3895356806,0.11228727260222701,0.9998393784965995,0.11226923685168891,False,148037.09564360225,0.0,1.4210854715202004e-14,2.117582368135751e-22,-0.003370308750362483,-0.010910273525212233
