时间_s,实验电流密度_A_cm2,实验电压_V,模型电压_V,电压相对误差_%,实验平均温度_C,模型平均温度_C,温度相对误差_%,模型最大冰体积分数,模型冰质量_kg_m2,步内耦合迭代次数
0.0,0.006600660066006601,0.799,0.8066653418828618,0.9593669440377622,-24.995416484688832,-24.995416484688832,0.0,0.0,0.0,1
0.2,0.006930693069306931,0.799,0.8038175850388873,0.6029518196354562,-24.995416484688832,-24.9935883440138,0.007313903635693761,9.686964196143549e-07,1.0070567978310834e-08,3
0.4,0.006600660066006601,0.799,0.8060180836285309,0.8783584015683162,-24.993965296107348,-24.992115165039706,0.007402311100789838,2.8576966039569425e-06,2.970861389473637e-08,3
0.6,0.006600660066006601,0.799,0.8060458441546895,0.8818328103491178,-24.992561301065223,-24.990712768597064,0.007396330635709613,5.5807386407482335e-06,5.8017358909218636e-08,3
0.8,0.006930693069306931,0.799,0.8032187444383305,0.5280030586145781,-24.991122981626773,-24.98925618213076,0.007469850384020097,9.105479863123414e-06,9.466056865703101e-08,3
1.0,0.006600660066006601,0.8,0.805433061508721,0.6791326885901144,-24.989688730460614,-24.98781200724997,0.007509990343957767,1.3377720471609248e-05,1.3907478202284974e-07,3
1.2,0.006600660066006601,0.799,0.8054755720212851,0.8104595771320419,-24.98829688239823,-24.9864192616445,0.00751400050418815,1.8322881166183004e-05,1.904846726036385e-07,3
1.4,0.006930693069306931,0.8,0.8026686410549326,0.3335801318665732,-24.986870532738067,-24.98497136381843,0.007600667387087046,2.3919512105525685e-05,2.4866724784904506e-07,3
1.6,0.005940594059405941,0.8,0.8095657090174329,1.1957136271791013,-24.985524800530953,-24.98363095227279,0.0075797817867845774,3.0075482439064503e-05,3.126647154365146e-07,3
1.8,0.007260726072607262,0.8,0.798004997863558,0.24937526705524904,-24.984144535809946,-24.982221438243585,0.00769727201828098,3.677702105930276e-05,3.823339109325115e-07,3
2.0,0.006600660066006601,0.8,0.8023673030317434,0.2959128789679216,-24.982691313305594,-24.980729479798185,0.007852770875664905,4.403533165473585e-05,4.577913078826339e-07,3
2.2,0.006930693069306931,0.8,0.7996450902226776,0.044363722165305375,-24.98128060254649,-24.97930614559911,0.007903745923973202,5.1788729305283136e-05,5.383956298577235e-07,3
2.4,0.006600660066006601,0.8,0.8019457275224751,0.243215940309377,-24.97987381754257,-24.97787873238775,0.007986770347159656,6.000374305934826e-05,6.237989128449844e-07,3
2.6,0.006600660066006601,0.8,0.8020751306539606,0.25939133174507356,-24.97850927496316,-24.976502297292598,0.008034817644513286,6.862512109293675e-05,7.134267588821704e-07,3
2.8,0.006600660066006601,0.8,0.8022014722159349,0.27518402699185096,-24.977148517484267,-24.97512024277617,0.008120521470558216,7.762539065988562e-05,8.069935613001709e-07,3
3.0,0.007260726072607262,0.8,0.7967549610915676,0.4056298635540523,-24.97571482158716,-24.973642029095544,0.008299231899563988,8.702702380470279e-05,9.047329394736903e-07,3
3.2,0.006930693069306931,0.8,0.7989787178252143,0.12766027184821227,-24.974246642735693,-24.972138801065995,0.008440061075120079,9.682692963362214e-05,1.0066127604711358e-06,3
3.4,0.006600660066006601,0.8,0.8012945337720322,0.16181672150401838,-24.972859460034414,-24.970745627451805,0.00846451959572976,0.00010695009502034969,1.1118531878315553e-06,3
3.6,0.006930693069306931,0.8,0.7986127964059716,0.17340044925355513,-24.97147613020391,-24.969336554636186,0.008568078060618973,0.00011737466559460926,1.2202270235215579e-06,3
3.8,0.006930693069306931,0.8,0.7987726615520998,0.1534173059875299,-24.970058275261835,-24.967882711154743,0.008712691348607852,0.00012810430823513276,1.3317723884124401e-06,3
4.0,0.006600660066006601,0.8,0.8010928958835071,0.1366119854383785,-24.968682752618605,-24.96648979329683,0.008782839461344396,0.00013909435447870635,1.4460249091606312e-06,3
4.2,0.006270627062706271,0.8,0.8035152712401323,0.4394089050165362,-24.96738747680149,-24.965187460512965,0.008811559842095756,0.0001502791119691022,1.5623016480307866e-06,3
