工况,区段,样本数,电压RMSE_V,电压MAE_V,电压平均相对误差_%,温度RMSE_C,温度MAE_C,温度平均相对误差_%,最大冰体积分数_预测
-20℃,train,128,0.01133185856807058,0.00997689897615012,1.5643770930040042,0.02698911790659136,0.02152705826290416,0.12247772442662472,0.02797374217600735
-20℃,validation,56,0.019902543718821684,0.016171540608918115,2.4697778238755568,0.05862238333400047,0.05744160338594338,0.41484862738962364,0.06039846087457509
-25℃,train,128,0.007842559713842182,0.006328384916433807,1.043882518448349,0.027528665821076385,0.018899760217041484,0.08573778871197894,0.02884010345695878
-25℃,validation,56,0.012015411360354552,0.010415435266202812,1.6456831088157067,0.11264425531332933,0.10805929285230606,0.5836289674855265,0.062113844610393515
