时间_s,实验电流密度_A_cm2,实验电压_V,模型电压_V,电压相对误差_%,实验平均温度_C,模型平均温度_C,温度相对误差_%,模型最大冰体积分数,模型冰质量_kg_m2,步内耦合迭代次数
13.2,0.185,0.485,0.5010589161465587,3.311116731249226,-18.937757407420886,-18.967622734309174,0.1577025528724172,0.004104849929828089,4.267401987049282e-05,4
13.4,0.189,0.485,0.5017774270578899,3.459263310905128,-18.879828857804963,-18.911458954147264,0.1675338085981914,0.00437071503723842,4.543795352713061e-05,4
13.6,0.195,0.484,0.5008946256061522,3.490625125238054,-18.82040590505613,-18.8537814611538,0.17733706842477887,0.004646581310180576,4.830585930063727e-05,4
13.8,0.199,0.489,0.501901500181483,2.638343595395309,-18.76018287478757,-18.79474714199972,0.1842426987137888,0.004932501130838677,5.127828175619889e-05,4
14.0,0.2,0.496,0.5053589940267871,1.8868939570135246,-18.70032242179482,-18.735508875079717,0.18815960757921513,0.005228159079540549,5.4351941790903546e-05,4
14.2,0.201,0.502,0.508746148502266,1.343854283319912,-18.64115015702762,-18.67646162259615,0.189427504585694,0.005533042503834371,5.752150986986212e-05,4
14.4,0.2,0.507,0.5130659364009708,1.1964371599547832,-18.582533091790246,-18.61791559751839,0.19040733334561383,0.00584652770515802,6.078050202282278e-05,4
14.6,0.199,0.512,0.5172700673104728,1.0293100215767086,-18.524466778000225,-18.560176649765737,0.1927713882049294,0.006167887446246992,6.412135789118373e-05,4
14.8,0.199,0.517,0.521079133761136,0.7890007274924565,-18.466996189724306,-18.50294602754957,0.1946707383048447,0.006496516507480539,6.753778561176768e-05,4
15.0,0.2,0.521,0.5241471210616531,0.6040539465744811,-18.409760826411052,-18.445816392156814,0.19585026707156505,0.006831996290139852,7.102543343229391e-05,4
15.2,0.2,0.526,0.5277640027085544,0.3353617316643286,-18.353037832523135,-18.3888973929117,0.19538760131044847,0.007173936495682702,7.458024380911738e-05,4
15.4,0.199,0.53,0.53156384868792,0.2950657901735702,-18.296860798181505,-18.332585052635352,0.1952479982653478,0.007521827507845999,7.819691877156701e-05,4
15.6,0.199,0.534,0.5349872509471897,0.18487845452989796,-18.240850076894837,-18.27679311829999,0.19704696466247754,0.007875194163346397,8.187051852214914e-05,4
15.8,0.2,0.538,0.5377692984626833,0.04288132663880046,-18.185156048897987,-18.221088437492483,0.19759186282414923,0.008233739127093687,8.559795196526596e-05,4
16.0,0.2,0.54,0.5410232710698863,0.1894946425715391,-18.12978020882951,-18.16556983308115,0.19740793235988396,0.008597185165977263,8.937633698549964e-05,4
16.2,0.201,0.545,0.5436777084792799,0.24262229737984672,-18.074584041130002,-18.110213878179735,0.19712673314447815,0.008965273789493609,9.320298631557557e-05,4
16.4,0.2,0.549,0.5470463972535412,0.3558474948012455,-18.01967402859838,-18.055237033290126,0.19735653727866925,0.009337691130606202,9.707463699378208e-05,4
16.6,0.199,0.552,0.5503329220249416,0.30200687953958244,-17.965157503993815,-18.000985745443984,0.1994318248654585,0.009713998837207008,0.00010098673191160406,4
16.8,0.2,0.555,0.552794164133416,0.39744790388902185,-17.910795478329696,-17.94696443876049,0.20193944191118446,0.010093933896511236,0.00010493653678813082,4
17.0,0.2,0.558,0.5556564598172222,0.41998928006771064,-17.856700053450815,-17.89306242314518,0.20363431981005467,0.010477323929430456,0.00010892225957035902,4
17.2,0.2,0.561,0.5584450014250485,0.45543646612327293,-17.803041430259576,-17.839510102855826,0.2048451818702432,0.010863935358731244,0.00011294147198937002,4
17.4,0.2,0.564,0.5611619602418237,0.503198538683724,-17.749645565636364,-17.786266659285644,0.20632014038736451,0.011253550398332392,0.00011699190994106356,4
17.6,0.2,0.567,0.5638093678713336,0.562721715814167,-17.696456467400644,-17.7333249873667,0.20833843223909318,0.01164596598582564,0.00012107146238864333,4
17.8,0.2,0.57,0.5663891768642536,0.6334777431133938,-17.643477332028418,-17.680680039308584,0.21085813516268248,0.012040992787070269,0.00012517816101438253,4
18.0,0.199,0.573,0.5691748897038962,0.6675585158994369,-17.59088354988372,-17.628520113546244,0.2139549361224244,0.012438381415937267,0.00012930941320008383,4
18.2,0.199,0.576,0.5716236045475749,0.7597908771571311,-17.538679352747998,-17.576801919105122,0.21736281045101136,0.012837899346224455,0.00013346280160334944,4
18.4,0.199,0.579,0.5740103163487944,0.8617761055622724,-17.48675627971982,-17.525325520919523,0.22056258223506678,0.013239402624067228,0.0001376368296798029,4
18.6,0.2,0.581,0.5759590869939573,0.8676270234152673,-17.43500715386101,-17.473923368798694,0.22320733564519477,0.013642829879991152,0.000141830859432388,4
18.8,0.199,0.584,0.5785006369389438,0.9416717570301609,-17.383438262067205,-17.422832995101004,0.2266222161571042,0.014048051041485684,0.00014604353862728516,4
19.0,0.2,0.587,0.5803500780442741,1.1328657505495556,-17.332224215564384,-17.37200631191513,0.2295267811907285,0.014454944829605153,0.00015027360644857517,4
19.2,0.2,0.589,0.5825109332526505,1.101709125186673,-17.2813135531451,-17.32125592831801,0.23113043490632262,0.014863471016761463,0.00015452064469025217,4
19.4,0.2,0.591,0.5846173739512721,1.079970566620619,-17.230658994674275,-17.270804028749012,0.23298606331391553,0.015273519242969266,0.0001587835060499085,4
19.6,0.2,0.594,0.5866709007078704,1.2338550996851092,-17.180265309287524,-17.220611945707844,0.23484291827850495,0.015684986609147043,0.00016306112078869268,4
19.8,0.2,0.596,0.5886729134977696,1.2293769299044215,-17.130190881011846,-17.17067383239285,0.23632516217830815,0.016097777172816224,0.00016735249148859744,4
20.0,0.199,0.599,0.5908927378013801,1.3534661433422208,-17.080544352814105,-17.121174446098507,0.2378735270091587,0.016511728625668073,0.00017165593079244529,4
20.2,0.2,0.601,0.5924639857071532,1.4203018790094482,-17.031206895426568,-17.07187938219522,0.2388115358963471,0.016926762484433942,0.0001759706227881753,4
20.4,0.2,0.603,0.5943210762049497,1.4392908449503001,-16.982170677526245,-17.02263761689062,0.23829073522343017,0.017342878424050773,0.00018029656409643185,4
20.6,0.2,0.605,0.5961317311463751,1.465829562582629,-16.93342436954048,-16.973671432251138,0.23767822640206465,0.01776000328941778,0.00018463299419678726,4
20.8,0.2,0.607,0.5978972115953558,1.4996356515064546,-16.884844169868916,-16.924943277502678,0.23748580223984633,0.01817806887105767,0.00018897920398351555,4
21.0,0.199,0.609,0.5998853518803509,1.4966581477256367,-16.83663537064699,-16.876634634713582,0.23757278806622772,0.01859693871874141,0.0001933337749200357,4
21.2,0.2,0.611,0.6012513954600833,1.5955162913120557,-16.78872898814699,-16.828515093799695,0.2369810465151648,0.019016558459111297,0.00019769614174092106,4
21.4,0.2,0.614,0.6028894476662077,1.8095362107153619,-16.74100463594799,-16.780433703617348,0.2355239038921857,0.019436950247026245,0.00020206653476808484,4
21.6,0.2,0.616,0.6044867160289372,1.8690396056920084,-16.693563836618456,-16.73261122851403,0.23390686541074301,0.01985806188753461,0.0002064444113828098,4
21.8,0.199,0.618,0.6063100940058079,1.8915705492220165,-16.646293127546517,-16.685196302761653,0.23370473484429138,0.020279771862153566,0.00021082850827894848,4
22.0,0.2,0.619,0.6075279030399755,1.853327457192971,-16.599245210432105,-16.637959431064928,0.23322880132219592,0.02070203971978411,0.0002152184049268756,4
22.2,0.2,0.621,0.6090100852922,1.930743109146534,-16.552366157575694,-16.59074983086134,0.23189236463380092,0.021124900596305587,0.00021961446659919288,4
22.4,0.2,0.623,0.6104554628553484,2.013569365112624,-16.505765703284215,-16.543787146306954,0.23035249443274086,0.021548314400196784,0.00022401627650444578,4
22.6,0.199,0.625,0.6121300767430098,2.059187721118434,-16.45949953849804,-16.49721932927514,0.22916730055415682,0.02197217089814352,0.00022842268865710006,4
22.8,0.199,0.627,0.6135038497322732,2.152496055458815,-16.41346219785355,-16.451005333723117,0.22873380044385366,0.02239636730915952,0.0002328326345460224,4
23.0,0.201,0.629,0.6142658105592633,2.3424784484478023,-16.367654134387227,-16.404584550883783,0.22563047944035058,0.022821026357198418,0.00023724739000943477,4
23.2,0.199,0.63,0.616103514833843,2.2057912962154043,-16.32207591054537,-16.358433912423777,0.2227535399153379,0.0232461167654626,0.0002416666298937492,4
23.4,0.2,0.632,0.6170928802873931,2.3587214735137567,-16.276622676850867,-16.312666831702813,0.22144738234431113,0.023671536519322346,0.0002460892936548751,4
23.6,0.2,0.634,0.6183383370485696,2.4702938409196302,-16.231349734060803,-16.266877181410678,0.21888165760683298,0.024097336205053936,0.0002505159071877407,4
23.8,0.199,0.635,0.6198171081699284,2.39100658741285,-16.18652416312533,-16.2214967559471,0.21605993028102666,0.02452341728500537,0.0002549454460949158,4
24.0,0.2,0.637,0.6207191869171593,2.5558576268195736,-16.141827766621123,-16.176271939744538,0.2133845907750313,0.024949760735150043,0.00025937771260261985,4
24.2,0.199,0.636,0.6221389955739437,2.179403211644074,-16.096785231144555,-16.131233542526445,0.21400739891365797,0.025376348817713775,0.0002638125223089524,4
24.4,0.205,0.633,0.6216062953530154,1.799953340755867,-16.05086823268293,-16.085463037834074,0.21553229800181117,0.025803529254580224,0.00026825349013061603,4
24.6,0.21,0.63,0.621364389547336,1.3707318178831798,-16.003652599771996,-16.03804680106026,0.21491469571612043,0.026232063372660822,0.0002727085308221819,4
24.8,0.215,0.628,0.6211312362663706,1.093752186883668,-15.954924907592996,-15.989390162721008,0.21601640451225124,0.026662588177081444,0.0002771842666889387,4
25.0,0.223,0.626,0.620144299729394,0.9354153786910546,-15.904148505481075,-15.938922509607153,0.21864738067613967,0.027095916163621274,0.0002816891444370068,4
25.2,0.228,0.624,0.6199423393011934,0.6502661376292695,-15.851536353449985,-15.88675476706021,0.22217665735952802,0.02753280489863447,0.00028623103972620395,4
25.4,0.233,0.622,0.6197454821491017,0.36246267699328816,-15.798059647031648,-15.833443837236814,0.2239780770280506,0.02797374217600735,0.00029081502366177245,4
25.6,0.235,0.621,0.6202676980671814,0.11792301655693896,-15.743558757743738,-15.779438463855513,0.22790086195808032,0.028418964255091318,0.00029544355239592934,4
25.8,0.241,0.619,0.6198300985550453,0.1341031591349506,-15.687552574803401,-15.7244418939963,0.23515025060153838,0.028868764274280388,0.0003001196733954189,4
